state_ut,area,geography_type,hh_surveyed,women_interviewed,anc_first_trimester_pct,anc_4plus_visits_pct,tetanus_protected_birth_pct,ifa_100days_pct,ifa_180days_pct,mcp_card_pct,postnatal_care_mother_2days_pct,oop_cost_public_delivery_rs,institutional_births_pct,institutional_births_public_pct,skilled_birth_attendance_pct,caesarean_overall_pct,caesarean_private_pct,caesarean_public_pct,full_immunisation_card_recall_pct,bcg_pct,polio3_pct,penta_dpt3_pct,mcv1_pct,mcv2_24to35m_pct,rotavirus3_pct,vitamin_a_pct,breastfed_1hour_pct,exclusive_breastfed_u6m_pct,adequate_diet_6to23m_pct,stunted_pct,wasted_pct,severely_wasted_pct,underweight_pct,overweight_child_pct,children_anaemic_6to59m_pct,women_bmi_below_normal_pct,women_anaemic_all_pct,women_anaemic_pregnant_pct,neonatal_mortality_rate,infant_mortality_rate,under5_mortality_rate,total_fertility_rate,women_married_before18_pct,women_literate_pct,women_10plus_yrs_school_pct,improved_drinking_water_pct,improved_sanitation_pct,clean_cooking_fuel_pct,health_insurance_pct
Assam,Urban,State/UT,3988.0,4291.0,72.7,62.55,96.16,54.44,22.62,98.87,76.8,6651.14,93.51,66.28,94.85,39.15,78.84,26.68,63.15,92.63,69.27,79.73,77.25,12.54,44.8,63.99,48.46,67.33,7.94,29.76,19.07,8.03,25.89,7.95,66.35,13.91,65.23,41.44,15.18,22.73,33.0,1.5,22.32,87.47,49.02,92.31,69.72,85.49,50.11
Assam,Rural,State/UT,26131.0,30688.0,62.67,49.16,94.31,46.57,17.98,98.69,63.83,5269.29,82.92,75.41,85.07,15.55,66.94,13.94,66.9,92.49,73.99,81.96,83.57,20.33,45.49,57.41,49.17,63.01,7.96,35.96,22.05,9.17,33.61,4.47,68.64,18.29,65.96,55.9,23.38,33.06,39.89,1.93,33.35,75.39,26.15,84.99,68.35,33.67,61.91
Assam,Total,State/UT,30119.0,34979.0,63.83,50.7,94.52,47.47,18.51,98.71,65.33,5415.26,84.09,74.41,86.14,18.14,70.62,15.19,66.44,92.51,73.4,81.68,82.78,19.36,45.4,58.18,49.09,63.56,7.96,35.29,21.73,9.05,32.78,4.85,68.38,17.64,65.86,54.21,22.48,31.93,39.12,1.87,31.82,77.2,29.57,86.04,68.55,42.13,59.99
Bihar,Urban,State/UT,3789.0,4601.0,59.84,32.36,90.45,26.03,15.25,84.98,62.55,3511.09,84.05,47.36,83.11,15.67,36.68,4.66,66.65,95.32,71.14,82.95,84.21,35.09,4.9,52.53,35.09,55.82,9.15,36.78,21.62,7.65,35.81,2.24,67.89,18.66,65.58,56.1,29.49,43.05,49.95,2.35,27.87,74.93,47.99,99.46,69.17,78.56,11.58
Bihar,Rural,State/UT,32045.0,37882.0,51.87,24.03,89.39,16.71,8.32,90.23,56.47,2771.15,75.02,58.33,78.33,8.82,40.61,3.5,71.6,95.55,76.2,85.26,85.96,29.08,3.12,56.52,30.54,59.35,11.17,43.85,23.08,9.0,41.79,2.43,69.69,26.88,63.14,63.88,35.2,47.31,57.42,3.11,43.36,54.54,25.21,99.15,45.68,30.25,15.09
Bihar,Total,State/UT,35834.0,42483.0,52.94,25.15,89.53,17.96,9.25,89.54,57.28,2848.31,76.2,56.91,78.95,9.71,39.64,3.62,70.96,95.52,75.54,84.96,85.73,29.86,3.35,56.01,31.11,58.93,10.91,42.94,22.89,8.83,41.03,2.41,69.43,25.56,63.52,63.08,34.46,46.76,56.44,2.98,40.8,57.78,28.83,99.2,49.4,37.79,14.55
Chandigarh,Urban,State/UT,740.0,720.0,82.17,79.11,93.08,73.85,64.33,97.42,90.52,5585.62,97.0,83.37,97.0,31.65,44.81,30.64,81.66,96.73,81.66,88.7,88.7,15.13,85.71,72.35,63.69,,19.1,25.2,8.3,2.37,20.18,1.87,54.97,13.06,60.25,,,,,1.41,9.84,83.1,59.91,99.11,85.37,95.81,32.31
Chandigarh,Rural,State/UT,21.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,69.23,30.77,100.0,47.57,,
Chandigarh,Total,State/UT,761.0,746.0,82.34,78.74,93.15,73.91,64.48,97.24,90.61,5546.35,96.87,83.24,97.03,31.3,44.28,30.35,80.93,96.76,80.93,87.9,87.9,14.99,84.94,72.57,63.72,,18.97,25.3,8.41,2.34,20.56,1.85,54.58,13.01,60.3,,,,,1.4,9.72,82.96,59.61,99.12,84.98,95.81,32.23
Chhattisgarh,Urban,State/UT,4518.0,5421.0,71.54,62.16,92.14,41.39,23.46,98.52,90.31,2536.02,93.12,58.91,95.53,31.18,60.4,17.84,77.33,95.79,85.75,83.96,87.74,34.81,48.49,81.85,29.96,73.8,8.99,29.95,18.91,8.95,25.82,5.68,71.08,15.97,56.54,38.76,19.3,26.23,28.94,1.42,8.1,85.26,52.39,98.59,88.15,80.23,68.81
Chhattisgarh,Rural,State/UT,20032.0,23047.0,64.07,59.57,91.87,45.89,27.05,97.17,82.28,1681.66,83.9,72.74,87.15,11.27,54.46,7.13,80.4,96.63,83.8,88.42,90.93,29.13,50.93,85.18,32.77,81.52,9.35,35.75,18.87,7.19,32.71,3.56,66.16,25.33,62.15,54.75,35.58,48.7,55.79,1.94,13.2,71.3,32.05,94.67,73.5,19.22,72.09
Chhattisgarh,Total,State/UT,24550.0,28468.0,65.66,60.12,91.93,44.94,26.29,97.45,83.99,1833.49,85.72,70.01,88.81,15.2,57.01,8.91,79.74,96.44,84.22,87.45,90.24,30.36,50.4,84.52,32.24,80.35,9.28,34.6,18.88,7.54,31.33,3.98,67.24,23.08,60.82,51.79,32.37,44.24,50.4,1.82,12.04,74.62,36.89,95.54,76.76,33.0,71.35
Dadra and Nagar Haveli & Daman and Diu,Urban,State/UT,1542.0,1455.0,71.77,77.93,78.71,56.01,35.24,97.82,91.52,1132.26,96.38,60.38,97.03,29.89,44.52,22.96,90.01,96.23,92.41,94.53,92.59,35.18,5.74,86.04,19.43,64.76,8.99,32.89,22.14,5.12,33.63,1.21,75.0,20.74,60.45,61.06,20.32,33.33,43.8,1.72,26.69,87.69,48.6,97.88,68.5,95.16,39.5
Dadra and Nagar Haveli & Daman and Diu,Rural,State/UT,1134.0,1258.0,84.0,94.84,90.8,63.7,37.19,99.85,91.66,329.13,96.65,82.93,98.53,16.12,37.32,13.26,100.0,100.0,100.0,100.0,100.0,53.68,1.52,86.25,31.79,93.29,11.29,45.66,21.08,3.49,43.52,2.45,76.84,29.0,64.36,60.4,22.51,30.43,30.43,1.94,26.16,67.9,24.22,93.16,63.34,62.56,66.26
