state_ut,area,geography_type,hh_surveyed,women_interviewed,anc_first_trimester_pct,anc_4plus_visits_pct,tetanus_protected_birth_pct,ifa_100days_pct,ifa_180days_pct,mcp_card_pct,postnatal_care_mother_2days_pct,oop_cost_public_delivery_rs,institutional_births_pct,institutional_births_public_pct,skilled_birth_attendance_pct,caesarean_overall_pct,caesarean_private_pct,caesarean_public_pct,full_immunisation_card_recall_pct,bcg_pct,polio3_pct,penta_dpt3_pct,mcv1_pct,mcv2_24to35m_pct,rotavirus3_pct,vitamin_a_pct,breastfed_1hour_pct,exclusive_breastfed_u6m_pct,adequate_diet_6to23m_pct,stunted_pct,wasted_pct,severely_wasted_pct,underweight_pct,overweight_child_pct,children_anaemic_6to59m_pct,women_bmi_below_normal_pct,women_anaemic_all_pct,women_anaemic_pregnant_pct,neonatal_mortality_rate,infant_mortality_rate,under5_mortality_rate,total_fertility_rate,women_married_before18_pct,women_literate_pct,women_10plus_yrs_school_pct,improved_drinking_water_pct,improved_sanitation_pct,clean_cooking_fuel_pct,health_insurance_pct
Lakshadweep,Total,State/UT,921.0,1234.0,99.6,88.31,99.36,80.11,61.67,77.82,92.58,2533.27,99.61,65.27,100.0,31.3,37.66,28.15,86.14,94.2,86.14,90.98,90.98,11.67,12.69,44.79,76.3,67.0,18.95,32.02,17.35,8.74,25.78,10.49,43.08,7.98,25.8,20.9,0.01,0.01,0.01,1.42,1.32,96.5,67.79,92.88,99.8,59.43,60.11
Madhya Pradesh,Urban,State/UT,9004.0,10204.0,78.44,63.33,96.37,58.59,36.64,94.5,87.64,1969.33,95.76,71.87,92.51,23.26,51.42,15.28,76.52,95.25,80.95,89.25,89.11,32.67,73.48,78.43,36.2,68.84,10.62,30.07,19.87,7.02,28.6,1.84,72.48,17.07,51.5,45.08,24.03,33.87,38.24,1.61,12.98,83.32,49.06,97.87,81.15,84.28,41.41
Madhya Pradesh,Rural,State/UT,34548.0,38206.0,74.36,55.57,94.52,49.05,30.26,97.35,82.16,1523.09,89.23,82.64,88.36,8.84,53.17,6.46,77.26,95.43,81.51,86.86,87.68,35.88,70.12,77.94,42.79,75.18,8.72,37.25,18.69,6.32,34.24,2.09,72.7,25.16,55.82,54.91,30.44,43.47,52.47,2.12,26.55,63.3,21.71,85.7,59.21,23.55,36.8
Madhya Pradesh,Total,State/UT,43552.0,48410.0,75.36,57.47,94.97,51.39,31.83,96.65,83.5,1619.02,90.7,80.22,89.29,12.09,52.27,8.24,77.1,95.39,81.39,87.38,87.99,35.17,70.86,78.05,41.29,73.96,9.15,35.67,18.95,6.47,33.0,2.03,72.65,22.95,54.66,52.85,28.99,41.29,49.2,1.99,23.11,68.85,29.29,88.95,65.07,40.05,38.05
Maharashtra,Urban,State/UT,10294.0,11197.0,69.53,72.22,91.15,51.39,33.56,93.82,87.29,3389.84,96.72,50.83,95.92,30.58,40.91,23.22,71.74,91.97,76.39,81.46,82.68,22.45,7.2,72.35,51.79,66.94,9.17,34.9,23.02,9.49,33.29,5.22,66.33,15.8,52.04,44.22,15.13,22.58,28.22,1.5,15.66,90.17,61.13,99.3,75.06,95.62,20.11
Maharashtra,Rural,State/UT,21349.0,22558.0,71.96,68.68,89.29,45.66,28.8,96.75,83.8,2675.49,93.12,59.52,92.22,21.5,37.28,15.08,74.71,95.1,80.86,84.84,86.17,29.05,8.88,72.02,54.27,74.1,8.95,35.46,27.33,11.91,38.01,3.36,70.68,24.95,56.06,46.54,17.6,23.71,27.88,1.89,27.57,79.51,40.72,88.48,69.39,65.36,19.85
Maharashtra,Total,State/UT,31643.0,33755.0,70.88,70.26,90.12,48.22,30.92,95.45,85.36,2966.19,94.67,55.77,93.81,25.41,39.13,18.27,73.46,93.78,78.98,83.42,84.7,26.28,8.17,72.16,53.21,71.02,9.04,35.24,25.6,10.94,36.12,4.1,68.9,20.78,54.24,45.65,16.53,23.22,28.03,1.71,21.89,84.58,50.44,93.49,72.02,79.72,19.97
Manipur,Urban,State/UT,2008.0,2223.0,84.02,88.8,91.81,63.02,35.98,74.9,86.15,16197.02,92.45,64.45,95.58,38.02,57.78,33.89,75.13,95.24,80.65,87.81,83.74,18.08,9.59,48.66,48.9,65.65,20.04,20.1,9.79,2.61,12.89,2.93,43.95,6.11,30.5,31.65,5.73,12.18,17.1,1.84,14.15,92.05,60.04,90.39,60.61,86.38,12.26
Manipur,Rural,State/UT,5873.0,5819.0,77.73,74.48,87.44,46.8,27.38,71.9,66.83,13563.63,73.89,56.93,80.83,19.65,49.64,19.73,65.91,95.49,73.29,78.4,73.29,14.08,5.47,43.03,55.98,73.41,19.39,25.07,10.01,3.8,13.53,3.55,42.2,7.93,28.79,32.69,22.71,31.1,36.2,2.38,17.61,84.84,40.6,68.91,67.45,60.69,15.31
Manipur,Total,State/UT,7881.0,8042.0,79.88,79.36,88.93,52.34,30.31,72.93,73.42,14518.2,79.89,59.36,85.59,25.59,53.23,24.7,68.83,95.41,75.61,81.38,76.59,15.34,6.77,44.87,53.69,70.69,19.59,23.43,9.94,3.41,13.32,3.35,42.77,7.23,29.44,32.37,17.23,24.99,30.03,2.17,16.32,87.62,48.08,77.06,64.85,70.43,14.15
Meghalaya,Urban,State/UT,1186.0,1598.0,63.19,67.5,84.76,47.47,28.69,87.49,54.8,3352.53,82.69,57.36,82.37,21.63,50.97,15.2,58.26,93.06,63.47,69.63,70.41,12.17,5.51,69.26,70.76,64.52,39.48,35.06,12.98,4.62,22.16,4.19,38.8,10.18,51.78,40.16,14.16,23.38,23.38,1.57,9.08,97.05,61.38,93.58,81.3,76.73,52.81
Meghalaya,Rural,State/UT,8962.0,11491.0,52.32,49.57,81.63,42.34,19.21,94.34,42.04,3189.71,54.28,47.85,61.18,6.09,34.61,8.08,64.68,88.65,69.29,73.68,72.81,14.47,3.89,59.73,79.93,39.17,28.43,48.21,11.97,4.72,27.29,4.0,46.02,11.02,54.32,45.93,20.63,33.63,42.62,3.31,19.12,85.53,27.34,75.57,83.28,21.72,66.48
Meghalaya,Total,State/UT,10148.0,13089.0,53.93,52.21,82.09,43.09,20.6,93.3,43.92,3218.64,58.06,49.11,63.99,8.16,40.76,9.18,63.8,89.25,68.5,73.13,72.48,14.16,4.11,60.96,78.76,42.72,29.75,46.54,12.1,4.71,26.64,4.02,45.07,10.84,53.79,44.98,19.77,32.26,39.96,2.91,16.89,88.17,35.13,79.18,82.88,33.68,63.51
Mizoram,Urban,State/UT,3082.0,3229.0,81.03,70.31,84.64,64.97,13.64,95.99,75.88,8839.65,98.83,79.75,99.1,16.79,30.65,13.72,69.59,81.47,73.94,81.56,79.91,34.98,14.37,69.76,61.51,74.29,15.86,25.51,8.26,3.55,9.3,12.12,42.78,4.18,30.81,31.88,14.42,20.64,21.84,1.63,3.22,99.14,62.33,98.42,97.06,97.85,41.23
Mizoram,Rural,State/UT,4175.0,4050.0,63.89,45.0,75.05,58.62,7.27,96.28,59.6,4900.9,72.46,67.72,76.04,4.78,29.4,5.0,75.18,85.21,78.21,79.96,81.85,17.4,0.64,61.45,58.55,62.15,10.78,31.9,11.17,6.13,15.76,8.14,49.55,6.76,39.88,35.92,8.39,21.98,26.2,2.19,14.0,87.67,32.7,92.58,93.19,66.4,52.79
Mizoram,Total,State/UT,7257.0,7279.0,72.7,58.01,79.98,61.88,10.54,96.13,67.97,7007.88,85.77,73.8,87.68,10.84,30.4,9.75,72.52,83.43,76.17,80.72,80.92,25.78,7.18,65.69,60.08,67.88,13.42,28.86,9.78,4.9,12.66,10.04,46.39,5.29,34.77,34.0,11.44,21.3,24.04,1.87,7.95,94.35,49.95,95.81,95.33,83.77,46.4
Nagaland,Urban,State/UT,2425.0,2575.0,64.46,39.87,89.26,16.49,6.69,91.84,62.91,7035.21,65.01,41.45,75.36,9.81,19.67,12.5,68.9,88.79,72.0,80.55,83.63,25.21,11.44,57.12,54.31,43.17,15.81,27.07,21.67,11.02,24.49,4.83,46.44,11.56,27.27,22.27,8.4,16.98,22.47,1.21,2.43,91.52,63.73,93.52,82.18,81.06,14.98
Nagaland,Rural,State/UT,7687.0,7119.0,43.63,13.06,78.11,7.68,3.1,92.65,36.32,5175.18,38.8,33.73,48.16,3.58,30.12,6.09,53.7,84.29,62.96,68.13,70.07,18.7,4.62,41.37,59.19,43.2,14.05,34.71,18.24,6.84,27.74,4.94,41.44,10.77,29.76,22.11,10.84,25.76,36.81,2.0,7.25,82.74,34.05,89.84,90.36,24.87,23.07
Nagaland,Total,State/UT,10112.0,9694.0,49.54,20.66,81.27,10.18,4.12,92.39,43.87,5777.94,45.67,35.75,55.29,5.22,23.61,8.04,57.88,85.52,65.44,71.54,73.8,20.49,6.5,45.6,57.88,43.2,14.52,32.71,19.14,7.93,26.88,4.91,42.74,11.05,28.88,22.15,10.2,23.44,33.03,1.72,5.6,85.8,44.41,91.03,87.72,43.0,20.46
NCT of Delhi,Urban,State/UT,9180.0,10771.0,76.49,77.05,93.53,68.87,48.79,94.12,85.56,2576.96,91.81,62.79,93.52,23.44,42.92,17.5,76.04,96.61,80.14,84.88,90.13,37.62,26.52,53.01,51.26,64.31,16.39,31.04,11.38,4.9,22.22,4.02,68.67,10.08,49.69,42.24,17.01,24.22,30.53,1.6,9.83,84.92,59.52,99.47,80.97,98.97,24.98
NCT of Delhi,Rural,State/UT,306.0,388.0,73.47,83.05,89.05,75.7,54.07,89.47,81.01,1402.17,90.4,51.85,91.06,28.15,40.78,23.97,74.74,100.0,81.32,87.0,89.54,27.29,29.45,50.68,49.34,,28.36,26.33,7.55,3.73,11.25,4.54,81.65,6.77,58.62,,,,,2.47,11.36,89.02,68.74,97.96,87.27,97.64,27.09
NCT of Delhi,Total,State/UT,9486.0,11159.0,76.39,77.24,93.39,69.08,48.96,93.98,85.42,2547.71,91.77,62.43,93.44,23.6,42.83,17.68,75.99,96.75,80.19,84.96,90.1,37.21,26.64,52.92,51.19,64.26,16.83,30.87,11.24,4.85,21.82,4.04,69.17,10.0,49.91,42.18,17.45,24.47,30.64,1.62,9.87,85.02,59.73,99.44,81.12,98.94,25.02
Odisha,Urban,State/UT,3707.0,4109.0,79.16,81.96,94.5,64.36,37.98,99.43,91.7,5066.05,97.47,70.81,94.84,34.07,68.58,22.29,92.02,98.24,92.58,98.44,97.7,39.19,90.64,82.53,67.91,68.29,14.66,24.88,14.86,3.89,21.54,5.48,56.16,12.62,61.52,59.49,24.6,31.24,31.95,1.48,14.51,83.91,47.87,97.27,72.28,76.85,29.5
Odisha,Rural,State/UT,22760.0,23862.0,76.49,77.35,95.29,60.18,33.75,99.39,87.75,3998.17,91.3,80.0,91.29,19.46,71.53,14.22,90.19,97.09,91.55,94.02,95.56,46.35,87.71,87.86,68.55,73.65,21.35,31.98,18.57,6.43,30.98,3.16,65.61,22.63,64.87,62.16,27.47,37.18,42.69,1.89,21.71,69.22,29.63,89.77,58.02,26.13,51.72
Odisha,Total,State/UT,26467.0,27971.0,76.89,78.06,95.17,60.82,34.4,99.4,88.35,4138.79,92.2,78.66,91.81,21.59,70.68,15.28,90.46,97.26,91.7,94.66,95.87,45.31,88.14,87.05,68.45,72.94,20.42,31.01,18.06,6.08,29.69,3.48,64.24,20.82,64.28,61.81,27.04,36.31,41.08,1.82,20.49,71.92,32.98,91.06,60.47,34.74,47.94
Puducherry,Urban,State/UT,2820.0,2938.0,87.79,90.03,92.5,82.39,61.66,98.57,91.89,2777.63,99.53,72.42,99.93,38.9,36.75,39.96,85.51,97.75,91.77,92.55,97.17,55.72,10.04,80.8,51.56,71.39,20.55,21.72,12.13,4.21,15.94,2.68,65.3,7.55,52.26,35.2,3.17,4.07,4.07,1.64,8.61,92.07,68.85,99.91,89.81,95.75,30.0
Puducherry,Rural,State/UT,700.0,731.0,68.6,78.88,90.5,88.43,73.08,99.46,96.19,4296.83,99.67,86.72,99.67,29.86,68.9,24.15,68.42,91.27,69.87,89.83,89.32,35.77,0.01,82.5,62.24,,31.9,15.62,12.91,2.46,13.69,6.52,60.79,11.98,61.39,,,,,1.19,0.97,89.07,57.77,99.93,73.96,84.63,30.46
Puducherry,Total,State/UT,3520.0,3669.0,82.39,86.89,91.94,84.09,64.88,98.82,93.1,3258.67,99.57,76.55,99.85,36.3,41.96,34.79,82.0,96.42,87.27,91.99,95.56,51.63,7.98,81.17,54.06,64.84,22.94,19.98,12.35,3.7,15.29,3.79,64.02,8.97,55.14,42.53,2.27,2.92,3.9,1.49,6.48,91.14,65.41,99.92,84.93,92.34,30.14
Punjab,Urban,State/UT,6134.0,6707.0,67.05,60.8,89.28,56.41,38.59,95.4,82.37,4352.06,92.04,47.04,93.66,38.8,53.35,31.44,73.19,95.68,75.79,87.53,85.94,25.29,66.66,68.08,52.25,52.62,12.19,25.73,11.72,4.33,17.87,4.44,70.97,11.88,58.97,46.15,16.03,20.11,24.08,1.55,8.78,83.65,62.37,99.44,87.77,93.76,27.52
Punjab,Rural,State/UT,12690.0,15064.0,69.29,58.44,89.92,54.82,41.64,97.63,88.33,3476.18,95.53,57.6,96.6,38.4,56.97,29.14,77.9,95.12,81.9,89.01,89.38,28.1,65.51,70.87,53.53,57.03,11.79,23.86,9.98,3.3,16.43,3.99,71.12,13.13,58.46,54.38,24.91,32.39,37.52,1.68,8.68,80.04,52.21,98.48,85.93,65.58,23.64
Punjab,Total,State/UT,18824.0,21771.0,68.48,59.3,89.69,55.4,40.53,96.86,86.16,3745.31,94.3,53.86,95.55,38.54,55.54,29.85,76.2,95.32,79.69,88.48,88.13,27.08,65.92,69.9,53.08,55.45,11.93,24.49,10.57,3.65,16.92,4.14,71.07,12.68,58.65,51.73,21.77,28.03,32.74,1.63,8.71,81.4,56.02,98.84,86.63,76.66,25.16
Rajasthan,Urban,State/UT,6823.0,9133.0,80.49,60.64,94.89,39.58,16.72,98.17,86.96,2383.95,97.51,70.49,97.98,19.71,32.96,15.32,83.23,97.42,86.0,91.55,93.5,27.82,65.47,64.45,37.12,70.57,9.65,28.25,18.3,7.98,25.44,3.9,68.27,14.01,49.93,41.36,13.34,22.17,32.33,1.67,15.06,81.32,51.24,99.06,87.23,87.84,80.04
Rajasthan,Rural,State/UT,24994.0,33857.0,75.12,53.87,93.0,32.3,13.72,98.13,84.8,2034.02,94.24,78.62,94.96,8.1,24.39,5.46,79.69,95.07,84.22,88.75,90.54,26.49,60.65,64.5,41.57,70.34,7.97,32.64,16.4,7.46,28.14,3.1,72.35,21.32,55.74,47.54,21.9,32.24,38.8,2.11,28.28,61.63,27.8,95.63,66.05,26.19,90.39
Rajasthan,Total,State/UT,31817.0,42990.0,76.27,55.32,93.4,33.86,14.36,98.14,85.26,2101.51,94.88,77.02,95.56,10.39,26.94,7.24,80.41,95.55,84.58,89.33,91.15,26.77,61.63,64.49,40.68,70.38,8.31,31.78,16.77,7.56,27.61,3.26,71.48,19.55,54.35,46.31,20.2,30.25,37.55,2.01,25.4,66.37,33.44,96.45,71.07,41.38,87.84
Sikkim,Urban,State/UT,600.0,520.0,58.46,51.42,92.22,48.36,29.56,96.09,58.87,9014.67,91.96,66.55,93.5,43.1,,40.39,,,,,,,,92.64,32.91,,,15.05,13.17,6.41,9.04,3.48,54.76,6.05,42.36,,,,,0.71,8.51,92.77,60.2,97.55,83.97,97.54,31.22
Sikkim,Rural,State/UT,2916.0,2751.0,66.52,62.26,91.82,58.15,32.53,93.83,74.96,8027.68,96.32,85.57,98.18,26.88,44.04,25.88,83.22,95.27,89.9,88.04,91.87,34.18,0.0,84.96,33.05,29.67,31.94,25.59,13.85,6.72,14.86,12.17,57.05,5.59,41.86,34.02,7.84,17.84,17.84,1.32,12.54,86.24,41.24,89.86,89.33,64.38,21.64
Sikkim,Total,State/UT,3516.0,3271.0,63.66,58.41,91.96,54.68,31.48,94.62,69.25,8334.0,94.73,78.63,96.47,32.79,55.42,30.36,80.57,96.6,89.04,91.42,90.48,29.0,0.0,87.47,33.01,28.25,24.73,22.33,13.65,6.63,13.13,9.62,56.43,5.77,42.05,40.73,4.99,11.18,11.18,1.05,10.75,88.92,49.01,92.82,87.26,78.4,25.69
Tamil Nadu,Urban,State/UT,11806.0,10879.0,76.71,88.8,89.45,84.2,66.4,98.07,92.46,3647.47,99.79,57.99,99.96,47.46,61.51,37.5,86.4,96.9,89.91,93.01,94.67,40.9,65.8,68.31,60.03,45.54,17.85,22.24,13.86,5.25,19.95,5.05,53.67,9.65,51.25,42.6,8.47,14.85,17.28,1.61,10.36,90.6,63.72,99.06,82.83,92.91,61.12
Tamil Nadu,Rural,State/UT,16123.0,14771.0,78.0,90.83,89.86,81.02,60.25,99.43,93.73,3097.21,99.43,74.01,99.68,42.93,66.7,35.11,91.71,98.24,92.92,96.3,96.81,48.04,67.0,68.03,60.35,61.91,15.01,27.18,15.18,5.64,23.52,3.68,60.37,15.19,55.32,53.12,16.08,21.69,26.39,1.89,15.18,81.5,49.92,98.14,63.27,73.65,71.41
Tamil Nadu,Total,State/UT,27929.0,25650.0,77.41,89.91,89.67,82.47,63.05,98.81,93.15,3315.93,99.59,66.9,99.81,44.94,63.75,36.03,89.2,97.61,91.5,94.75,95.8,44.67,66.43,68.15,60.2,55.05,16.29,25.04,14.61,5.47,21.96,4.27,57.43,12.57,53.41,48.25,12.69,18.64,22.31,1.76,12.83,85.89,56.57,98.58,72.62,82.87,66.48
Telangana,Urban,State/UT,7160.0,7509.0,89.83,71.11,89.49,63.15,37.04,94.77,87.96,3593.82,97.71,43.43,94.59,64.34,82.7,44.79,74.65,90.37,77.04,84.25,86.74,29.67,3.86,68.65,38.83,59.07,8.4,28.13,19.95,9.15,25.81,4.16,64.74,13.48,55.21,50.4,13.79,21.99,24.72,1.75,16.68,80.96,60.88,99.36,81.84,98.22,52.87
Telangana,Rural,State/UT,20191.0,20009.0,87.64,69.97,89.66,54.64,32.74,97.79,87.33,3965.84,96.57,53.64,92.91,58.37,80.58,44.33,81.48,95.27,84.04,91.85,92.69,40.07,6.07,74.89,36.02,73.41,9.67,35.73,22.6,8.15,34.96,3.02,72.82,21.62,58.9,54.38,18.8,29.3,32.37,1.74,27.38,58.1,36.33,98.35,72.88,88.25,65.03
Telangana,Total,State/UT,27351.0,27518.0,88.49,70.41,89.59,57.94,34.4,96.7,87.57,3845.54,97.01,49.66,93.56,60.7,81.53,44.49,79.06,93.53,81.56,89.15,90.58,36.39,5.29,72.44,37.1,68.22,9.2,33.12,21.7,8.49,31.82,3.41,70.02,18.77,57.62,53.17,16.84,26.44,29.39,1.75,23.46,66.64,45.5,98.73,76.24,91.76,60.75
Tripura,Urban,State/UT,1382.0,1347.0,71.78,64.22,97.7,28.74,8.2,96.08,83.56,6223.49,94.84,78.24,96.77,47.51,95.74,40.4,82.41,97.93,85.25,90.1,91.45,28.02,66.0,78.6,38.29,,14.66,27.1,17.09,5.24,16.39,9.33,57.31,14.6,66.05,62.08,13.94,23.2,24.38,1.39,33.71,89.94,36.57,98.17,78.52,75.39,24.85
Tripura,Rural,State/UT,5827.0,5967.0,60.53,49.12,93.97,25.99,9.06,91.97,68.29,6774.34,87.51,78.87,86.96,18.58,54.7,17.57,65.52,93.65,69.72,84.6,84.72,19.93,57.6,68.01,35.9,64.75,13.14,33.87,18.55,7.96,28.34,7.8,66.46,16.87,67.59,61.3,25.5,41.81,48.99,1.81,42.4,76.88,17.89,83.95,71.6,32.58,36.48
Tripura,Total,State/UT,7209.0,7314.0,63.22,52.73,94.86,26.65,8.86,92.98,71.94,6639.87,89.15,78.73,89.16,25.06,69.34,22.65,69.53,94.66,73.41,85.91,86.32,21.85,59.59,70.44,36.44,62.13,13.49,32.3,18.21,7.33,25.6,8.16,64.25,16.22,67.15,61.5,22.87,37.56,43.28,1.7,40.06,80.61,23.23,87.99,73.57,45.34,33.01
Uttar Pradesh,Urban,State/UT,14053.0,18051.0,70.81,52.29,93.66,29.8,14.11,95.05,79.15,3251.93,85.47,43.14,88.41,24.23,42.57,14.39,67.24,91.97,71.43,78.39,80.99,28.88,53.49,73.13,24.93,54.77,6.83,33.03,18.69,8.15,28.17,3.59,65.26,13.62,50.07,37.09,27.66,41.97,49.71,1.88,9.55,78.6,51.87,99.42,80.89,88.3,16.82
Uttar Pradesh,Rural,State/UT,56657.0,75073.0,60.17,39.62,91.64,20.21,8.47,95.84,70.03,2116.53,82.87,61.49,83.82,10.95,37.75,4.67,70.24,93.57,75.09,81.45,83.91,30.53,47.94,74.11,23.68,60.86,5.88,41.34,16.98,7.1,33.11,2.94,66.74,20.75,50.53,47.92,37.8,52.55,62.49,2.5,17.85,65.55,35.04,99.08,64.8,36.22,15.54
Uttar Pradesh,Total,State/UT,70710.0,93124.0,62.48,42.37,92.08,22.29,9.69,95.67,72.01,2299.56,83.4,57.72,84.76,13.67,39.38,6.17,69.62,93.24,74.34,80.82,83.31,30.19,49.07,73.91,23.94,59.66,6.08,39.71,17.32,7.31,32.14,3.07,66.42,19.0,50.42,45.93,35.71,50.36,59.84,2.35,15.84,68.83,39.27,99.16,68.75,49.52,15.87
Uttarakhand,Urban,State/UT,2358.0,2586.0,74.56,71.0,95.2,52.05,28.73,97.53,84.03,3124.11,89.37,52.27,86.56,28.59,46.95,21.36,82.01,92.46,85.25,91.79,91.06,41.01,38.52,58.67,42.78,44.97,13.34,24.31,17.39,4.68,21.02,4.42,63.79,11.57,45.8,51.9,36.2,38.29,46.17,1.84,9.98,85.27,59.38,99.62,81.04,92.86,61.61
Uttarakhand,Rural,State/UT,9811.0,10694.0,65.96,57.33,92.83,43.84,23.22,96.91,74.99,3446.56,80.39,53.8,82.39,16.65,40.94,10.71,80.18,96.54,83.35,88.71,90.33,33.35,29.4,51.41,40.62,56.42,12.17,28.24,11.31,4.72,20.92,3.91,56.62,14.91,41.1,44.3,30.6,39.47,45.32,1.86,9.76,79.78,45.98,94.18,77.67,42.9,62.91
Uttarakhand,Total,State/UT,12169.0,13280.0,68.8,61.83,93.61,46.55,25.04,97.12,77.97,3343.15,83.24,53.31,83.71,20.43,43.3,14.02,80.77,95.23,83.96,89.7,90.56,35.82,32.34,53.74,41.33,52.53,12.54,27.04,13.18,4.71,20.95,4.07,58.8,13.86,42.56,46.37,32.38,39.1,45.55,1.85,9.83,81.57,50.36,95.92,78.75,59.17,62.49
West Bengal,Urban,State/UT,5442.0,6358.0,74.86,81.16,95.98,64.44,33.64,96.7,74.1,2674.65,92.26,62.8,95.23,43.52,80.16,31.7,83.63,97.46,85.34,93.07,92.44,35.83,3.03,66.03,60.69,51.15,24.89,32.14,20.23,7.86,28.74,6.04,62.97,9.46,65.06,60.3,16.07,20.95,22.98,1.39,26.22,83.37,47.59,98.62,74.96,80.31,25.87
West Bengal,Rural,State/UT,12745.0,15050.0,71.8,73.8,94.15,61.75,29.73,99.07,65.69,2686.16,91.56,75.82,93.71,28.64,84.41,20.25,89.33,98.96,92.74,95.63,95.1,47.47,1.35,69.27,58.98,54.04,22.87,34.38,20.36,6.89,33.48,3.6,71.28,17.4,74.41,62.99,15.33,22.36,26.22,1.73,48.13,72.54,25.88,96.89,64.72,20.48,31.03
West Bengal,Total,State/UT,18187.0,21408.0,72.62,75.78,94.64,62.47,30.78,98.44,67.95,2683.47,91.74,72.37,94.11,32.59,82.69,22.89,87.81,98.56,90.77,94.95,94.39,44.37,1.8,68.39,59.43,53.31,23.39,33.78,20.33,7.14,32.21,4.25,68.99,14.81,71.39,62.26,15.53,21.98,25.35,1.64,41.64,76.06,32.94,97.45,68.03,40.22,29.33
